City,Year,zhuanli,keji,jiaoyu,rgdp,gongye,waizi,renkou
81,2021,4074,52928,860623,31011,505,12,387
81,2022,4137,22732,893339,33764,536,15,542
82,2018,27444,440982,665350,99471,3211,332,170
82,2019,34114,410488,703493,110585,3212,334,177
82,2020,33395,333279,739036,92709,3635,333,183
82,2021,39698,239308,831736,71478,3868,317,443
82,2022,41513,255318,1070536,80157,4626,321,199
83,2018,3932,19020,663597,33027,1956,34,703
83,2019,4597,37969,726410,35358,1955,33,705
83,2020,5927,30494,769720,34471,1393,13,707
83,2021,9126,31306,817278,37495,1397,13,558
83,2022,10382,25112,901621,40470,1464,10,713
84,2018,1358,64433,1173869,52723,960,36,757
84,2019,6156,78509,1295459,55901,1005,39,771
84,2020,1949,106667,1408642,61738,1000,35,782
84,2021,11825,132196,1489412,54669,1155,46,875
84,2022,15943,136939,1540349,58241,1323,47,801
85,2018,2154,41332,707633,62855,835,22,387
85,2019,3687,38768,733122,75945,876,25,390
85,2020,4290,56431,797454,77056,944,27,394
85,2021,5899,42873,851989,77148,1052,31,416
85,2022,7213,50155,855933,73328,1168,39,397
86,2018,298,21540,873515,27111,549,12,724
86,2019,1749,18421,877476,27708,584,13,733
86,2020,2156,18409,927419,28647,534,15,737
86,2021,2675,14758,958926,30397,633,14,580
86,2022,3771,11084,947478,35639,725,15,743
87,2018,87,32499,700788,30881,354,1,418
87,2019,645,24424,708417,32170,368,1,421
87,2020,635,22186,809768,34194,356,1,423
87,2021,1204,22759,834437,37332,377,2,358
87,2022,2293,28480,816624,43892,436,4,423
88,2018,391,11099,320918,25499,204,3,244
88,2019,531,12010,337360,29188,220,5,246
88,2020,568,4572,388916,33676,237,6,248
88,2021,939,2457,392082,37539,270,7,201
88,2022,1194,11515,398852,45044,327,7,249
89,2018,304,2532,311471,26885,227,3,268
89,2019,373,2344,327919,31102,240,3,269
89,2020,477,1794,316576,29215,220,4,270
89,2021,694,2343,368833,33939,267,5,208
89,2022,1004,4684,413580,40091,334,7,269
90,2018,64,11033,344970,37161,201,15,250
90,2019,326,9632,338085,48564,247,15,252
90,2020,381,7899,378549,36129,313,19,252
90,2021,774,5686,375543,38732,359,20,209
90,2022,1003,8844,373676,47336,431,21,251
91,2018,1451,10528,315243,56315,151,23,171
91,2019,2234,24995,366352,66042,147,18,178
91,2020,3017,23696,414403,72218,156,18,183
91,2021,5741,25448,428570,63309,173,14,289
91,2022,8929,22702,458165,70999,187,15,216
92,2018,129,27590,200353,63273,21,3,59
92,2019,199,31157,211224,77429,22,3,61
92,2020,313,142459,224140,87105,25,2,63
92,2021,911,150320,237056,68656,33,2,104
92,2022,1633,158545,242306,79809,35,2,71
93,2018,112,1325,138928,28770,18,2,96
93,2019,214,918,195274,35569,18,2,97
93,2020,206,973,183145,39065,29,2,98
93,2021,243,782,162436,41003,25,3,88
93,2022,693,3990,226739,86169,58,5,107
94,2018,34780,593077,6263003,57902,6684,241,3390
94,2019,45688,685887,6809942,65933,6438,272,3404
94,2020,43870,792329,7282575,75828,6694,277,3416
94,2021,55377,828722,7549666,78173,6938,300,3209
94,2022,76206,926407,7949530,86879,7314,296,3415
95,2018,41088,532565,2505824,76960,3631,210,1435
95,2019,57370,730705,2658194,94782,3438,191,1476
95,2020,50775,1057709,2883936,103386,3614,197,1500
95,2021,65453,1096375,3277272,85679,3664,210,2095
95,2022,88414,1872835,3574771,94622,4108,221,1556
96,2018,1141,19106,363630,44481,534,8,324
96,2019,1458,35490,382716,48329,535,9,323
96,2020,1879,58264,427373,48904,564,10,320
96,2021,286,41024,425779,58059,606,11,249
96,2022,3508,30094,394264,64595,604,10,317
97,2018,1451,31324,693513,34497,662,9,510
97,2019,1787,30344,723746,39230,680,9,510
97,2020,1935,51891,791341,48105,689,7,509
97,2021,2575,43944,816570,50758,785,7,426
97,2022,3601,47668,829934,56507,828,6,507
